accountsservice,utils,query user information through dbus,
acpi,utils,battery status,
alsa-utils,utils,utilitis for dealing with sound,
arandr,gui,utility to control screens,
archey3,utils,show system stats,
atool,r,ranger archive previews,
bind-tools,utils,,
compton,gui,custom compositor for the X-server,
dmenu,utils,simple visual command runner,
feh,utils,image viewer,
ffmpegthumbnailer,utils,generate thumbnails for ranger,
firefox,utils,default browser,
fzf,r,ranger fuzzy finder,
git,utils,version control client,
gvim,utils,file editor,
highlight,r,ranger previews highlighted,
i3-gaps,gui,unofficial fork of i3 with extra features,
i3lock,gui,screen locker for i3,
id3v2,utils,add and alter metadata for AAC-files,
iw,network,general control wireless interfaces,
jq,utils,command line json parser with queries,
keychain,utils,session persisten gpg and ssh keychain,
light-locker,utils,a locker for lightdm,
lightdm,gui,a login manager,
materia-gtk-theme,gui,a GTK theme based on material design,
mediainfo,r,ranger audio/video info preview,
mpc,audio,command line interface to control mpd,
mpd,audio,daemon for playing audio files,
mpv,utils,pdf viewer,
mupdf,fonts,googles noto TTF fonts,
noto-fonts,fonts,googles noto CJK fonts,
noto-fonts-cjk,fonts,googles noto emoji fonts,
noto-fonts-emoji,network,open source implementation of the ssh protocol,
openssh,audio,commandline mixer for pulseaudio,
pamixer,r,ranger pdf previews,
poppler,audio,daemon for handling audio devices,
pulseaudio,audio,interface between alsa and pulseaudio,
pulseaudio-alsa,utils,browser with integrated keyboard controls,
qutebrowser,utils,file navigation with advanced features,
ranger,lang,compiler and package manager for ruby,
ruby,lang,compiler and package manager for rust,
rustup,fonts,monospaced font with programming ligatures,
ttf-fira-code,utils,extraction of archives,
unrar,utils,extraction of archives,
unzip,utils,preview images and html pages in ranger,
w3m,utils,download files over common network protocols,
wget,network,extract info on networkinterfaces,
wireless_tools,network,connect to wireless networks using WPA-encryption,
wpa_supplicant,utils,clipboard for X,
xclip,gui,graphical environment server,
xorg-server,gui,commandline tool to alter monitor brightness,
xorg-xbacklight,gui,initializer for xorg-server,
xorg-xinit,utils,download videos from multiple sources,
youtube-dl,utils,Z-shell,
zsh,video,video viewer,
